Index,Country_Name,Country_Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percent_Change,Latitude,Longitude
0,Australia,AUS,17.9,17.7,17.8,17.4,17.1,16.8,16.2,15.6,15.7,15.8,15.6,1.147435897,-27,133
1,Austria,AUT,8.4,8.3,7.5,8.2,8,7.6,7.6,7.2,7.2,7.1,7.4,1.135135135,47.3333,13.3333
2,Belgium,BEL,9.6,9.7,9,9.5,8.4,8.3,8.4,7.8,8.3,8.1,8,1.2,50.8333,4
3,Canada,CAN,17.1,16.3,15.3,15.5,15.8,15.5,15.6,15.6,15.6,15.2,15,1.14,60,-95
4,Czech Republic,CZE,11.8,11.2,10.5,10.7,10.4,10.1,9.6,9.3,9.4,9.6,9.6,1.229166667,49.75,15.5
5,Denmark,DNK,9.5,8.9,8.5,8.5,7.6,6.6,6.9,6.1,5.6,5.8,5.4,1.759259259,56,10
6,Finland,FIN,12.2,10.5,10.1,11.6,10.1,9,9.1,8.4,7.7,8.2,7.7,1.584415584,64,26
7,France,FRA,5.5,5.4,5.2,5.2,4.9,5,4.9,4.4,4.5,4.5,4.6,1.195652174,46,2
8,Germany,DEU,9.5,9.6,8.9,9.5,9.1,9.3,9.5,8.9,8.9,8.9,8.7,1.091954023,51,9
9,Greece,GRC,8.9,8.5,8.1,7.5,7.4,7,6.3,6,6,5.9,5.9,1.508474576,39,22
10,Hungary,HUN,5.2,5.2,4.7,4.7,4.6,4.3,4.1,4.1,4.3,4.5,4.7,1.106382979,47,20
11,Iceland,ISL,7.5,6.7,6.5,6.1,5.9,5.8,6.3,6.3,6.2,6.2,6.3,1.19047619,65,-18
12,Ireland,IRL,10.1,9.8,8.7,8.7,7.7,7.8,7.5,7.3,7.5,7.8,7.4,1.364864865,53,-8
13,Italy,ITA,7.5,7.2,6.4,6.6,6.4,6.1,5.6,5.3,5.4,5.4,5.3,1.41509434,42.8333,12.8333
14,Japan,JPN,9.3,8.8,8.4,8.8,9.3,9.6,9.7,9.4,9.1,9,8.9,1.04494382,36,138
16,South Korea,KOR,9.8,10,10.2,11.1,11.5,11.5,11.4,11.1,11.4,11.5,11.7,0.837606838,37,127.5
17,Luxembourg,LUX,22.3,21.8,20.3,21,20.3,19.4,17.9,16.6,15.5,14.6,14.5,1.537931034,49.75,6.1667
18,Mexico,MEX,4,3.9,3.8,3.9,4,3.9,3.8,3.6,3.7,3.7,3.6,1.111111111,23,-102
19,Netherlands,NLD,10,10,9.7,10.3,9.5,9.4,9.3,8.9,9.3,9.3,9.1,1.098901099,52.5,5.75
20,New Zealand,NZL,7.7,7.8,7.1,7,6.7,7.1,6.9,6.9,6.7,6.4,6.7,1.149253731,-41,174
21,Norway,NOR,7.7,7.4,7.4,7.6,7.3,7.2,7,6.9,6.9,6.7,6.6,1.166666667,62,10
22,Poland,POL,8,7.9,7.6,8,7.9,7.7,7.6,7.3,7.4,7.6,8,1,52,20
23,Portugal,PRT,5.2,5,5,4.5,4.5,4.3,4.2,4.1,4.5,4.5,4.9,1.06122449,39.5,-8
24,Slovakia,SVK,6.6,6.6,6,6.4,6.1,5.8,5.9,5.4,5.4,5.6,5.9,1.118644068,48.6667,19.5
25,Spain,ESP,7.5,6.7,6,5.6,5.7,5.6,5,5,5.3,5.1,5.4,1.388888889,40,-4
26,Sweden,SWE,4.9,4.7,4.4,4.9,4.5,4.1,3.9,3.8,3.8,3.8,3.7,1.324324324,62,15
27,Switzerland,CHE,5.5,5.6,5.4,5.5,5,5.1,5.2,4.6,4.5,4.5,4.4,1.25,47,8
28,Turkey,TUR,3.8,3.7,3.6,3.7,3.9,4,3.7,4,4.1,4.3,4.7,0.808510638,39,35
29,United Kingdom,GBR,8.5,8.2,7.4,7.6,6.9,7.2,7,6.3,6.1,5.7,5.4,1.574074074,54,-2
30,United States,USA,18.8,18.1,16.7,17.3,16.4,15.6,15.9,15.8,15.3,14.9,14.6,1.287671233,38,-97
31,Albania,ALB,1.3,1.3,1.3,1.3,1.4,1.2,1.3,1.4,1.3,1.3,1.5,0.866666667,41,20
32,Algeria,DZA,2.5,2.5,2.7,2.6,2.8,3,3,3.2,3.3,3.1,3.2,0.78125,28,3
33,Argentina,ARG,4.1,4.4,4.1,4.2,4.4,4.4,4.3,4.3,4.4,4.3,4.1,1,-34,-64
34,Armenia,ARM,1.6,1.8,1.5,1.4,1.6,1.9,1.8,1.8,1.6,1.7,1.8,0.888888889,40,45
